"","id","achiv","langscore","prog"
"1",70,57,52,"general"
"2",121,68,59,"vocation"
"3",86,44,33,"general"
"4",141,63,44,"vocation"
"5",172,47,52,"academic"
"6",113,44,52,"academic"
"7",50,50,59,"general"
"8",84,63,57,"general"
"9",48,57,55,"academic"
"10",75,60,46,"vocation"
"11",60,57,65,"academic"
"12",95,73,60,"academic"
"13",104,54,63,"academic"
"14",38,45,57,"academic"
"15",115,42,49,"general"
"16",76,47,52,"academic"
"17",195,57,57,"general"
"18",114,68,65,"academic"
"19",85,55,39,"general"
"20",167,63,49,"general"
"21",143,63,63,"vocation"
"22",41,50,40,"academic"
"23",20,60,52,"academic"
"24",154,65,65,"academic"
"25",178,47,57,"vocation"
"26",196,44,38,"academic"
"27",29,52,44,"general"
"28",126,42,31,"general"
"29",103,76,52,"academic"
"30",192,65,67,"academic"
"31",150,42,41,"vocation"
"32",199,52,59,"academic"
"33",144,60,65,"general"
"34",200,68,54,"academic"
"35",80,65,62,"academic"
"36",16,47,31,"vocation"
"37",176,47,47,"academic"
"38",177,55,59,"academic"
"39",168,52,54,"academic"
"40",40,42,41,"general"
"41",62,65,65,"general"
"42",169,55,59,"general"
"43",49,50,40,"vocation"
"44",136,65,59,"academic"
"45",189,47,59,"academic"
"46",7,57,54,"academic"
"47",27,53,61,"academic"
"48",21,44,44,"general"
"49",183,63,59,"academic"
"50",132,73,62,"academic"
"51",22,42,39,"vocation"
"52",185,63,57,"academic"
"53",9,48,49,"vocation"
"54",181,50,46,"academic"
"55",170,47,62,"academic"
"56",134,44,44,"general"
"57",197,50,42,"academic"
"58",140,44,41,"vocation"
"59",171,60,54,"academic"
"60",107,47,39,"vocation"
"61",81,63,43,"academic"
"62",18,50,33,"vocation"
"63",155,44,44,"general"
"64",97,60,54,"academic"
"65",68,73,67,"academic"
"66",157,68,59,"general"
"67",56,55,45,"vocation"
"68",5,47,40,"academic"
"69",159,55,61,"academic"
"70",123,68,59,"general"
"71",14,47,41,"academic"
"72",127,63,59,"academic"
"73",174,68,59,"academic"
"74",3,63,65,"academic"
"75",58,55,41,"vocation"
"76",146,55,62,"academic"
"77",102,52,41,"academic"
"78",133,50,31,"vocation"
"79",94,55,49,"academic"
"80",24,52,62,"academic"
"81",149,63,49,"general"
"82",82,68,62,"academic"
"83",129,44,44,"general"
"84",173,50,62,"general"
"85",57,71,65,"academic"
"86",100,63,65,"academic"
"87",194,63,63,"academic"
"88",88,68,60,"academic"
"89",99,47,59,"general"
"90",47,47,46,"academic"
"91",120,63,52,"academic"
"92",166,52,59,"academic"
"93",65,55,54,"academic"
"94",101,60,62,"academic"
"95",54,47,54,"general"
"96",180,71,65,"academic"
"97",162,57,52,"vocation"
"98",4,44,50,"academic"
"99",131,65,59,"academic"
"100",125,68,65,"academic"
"101",34,73,61,"academic"
"102",130,43,54,"general"
"103",93,73,67,"academic"
"104",163,52,57,"academic"
"105",37,41,47,"vocation"
"106",35,60,54,"general"
"107",87,50,52,"general"
"108",73,50,52,"academic"
"109",151,47,46,"vocation"
"110",44,47,62,"vocation"
"111",152,55,57,"academic"
"112",105,50,41,"academic"
"113",91,50,49,"vocation"
"114",116,57,59,"academic"
"115",33,57,65,"academic"
"116",66,68,62,"vocation"
"117",72,42,54,"vocation"
"118",77,61,59,"academic"
"119",61,76,63,"academic"
"120",190,47,59,"academic"
"121",42,46,52,"vocation"
"122",55,52,49,"academic"
"123",90,42,54,"academic"
"124",142,47,42,"vocation"
"125",17,47,57,"academic"
"126",122,52,59,"academic"
"127",191,47,52,"academic"
"128",83,50,62,"vocation"
"129",182,44,52,"academic"
"130",6,47,41,"academic"
"131",46,45,55,"academic"
"132",43,47,37,"academic"
"133",96,65,54,"academic"
"134",138,43,57,"vocation"
"135",10,47,54,"general"
"136",71,57,62,"general"
"137",139,68,59,"academic"
"138",110,52,55,"vocation"
"139",148,42,57,"vocation"
"140",109,42,39,"general"
"141",39,66,67,"academic"
"142",147,47,62,"academic"
"143",74,57,50,"academic"
"144",198,47,61,"academic"
"145",161,57,62,"academic"
"146",112,52,59,"academic"
"147",69,44,44,"vocation"
"148",156,50,59,"academic"
"149",186,57,62,"academic"
"150",98,57,60,"vocation"
"151",119,42,57,"general"
"152",13,47,46,"vocation"
"153",51,42,36,"general"
"154",26,60,59,"academic"
"155",36,44,49,"general"
"156",135,63,60,"academic"
"157",59,65,67,"academic"
"158",64,50,52,"vocation"
"159",63,52,65,"general"
"160",79,60,62,"academic"
"161",193,44,49,"academic"
"162",92,52,67,"general"
"163",160,55,65,"academic"
"164",32,50,67,"vocation"
"165",23,65,65,"academic"
"166",158,52,54,"general"
"167",25,47,44,"general"
"168",188,63,62,"academic"
"169",52,50,46,"academic"
"170",124,42,54,"vocation"
"171",184,50,52,"vocation"
"172",30,41,59,"academic"
"173",179,47,65,"academic"
"174",31,55,59,"general"
"175",145,42,46,"vocation"
"176",187,57,41,"general"
"177",118,55,62,"general"
"178",137,63,65,"academic"
